id,category,dimension,sentence,emotion
228,彩电,服务,昨天收到的货今天安转好的,好评
229,彩电,服务,安装师傅也很及时,好评
230,彩电,服务,送货安装都挺快的,好评
231,彩电,服务,安装也很及时,好评
232,彩电,服务,安装也很及时,好评
233,彩电,服务,安装都很快速,好评
234,彩电,服务,今天也安好了,好评
235,彩电,服务,回家就安装上,好评
236,彩电,服务,安装也很及时,好评
237,彩电,服务,安装很及时,好评
238,彩电,服务,安装小哥如约而至,好评
239,彩电,服务,回家就安装上,好评
240,彩电,服务,下午安装,好评
241,彩电,服务,送货安装都挺快的,好评
242,彩电,服务,货到当天就来安装了,好评
243,彩电,服务,安装也很快,好评
244,彩电,服务,安装很及时,好评
245,彩电,服务,安装速度快,好评
246,彩电,服务,安装也快,好评
247,彩电,服务,安装及时,好评
248,彩电,服务,当天安装,好评
249,彩电,服务,上门安装速度快,好评
250,彩电,服务,很快就安装好,好评
251,彩电,服务,下午安装,好评
252,彩电,服务,安装及时,好评
253,彩电,服务,售后安装也很快,好评
254,彩电,服务,下午就安装好,好评
255,彩电,服务,安装也很快,好评
256,彩电,服务,安装也快,好评
257,彩电,服务,安装很快,好评
258,彩电,服务,安装师傅也很及时,好评
259,彩电,服务,今天中午就装好了,好评
260,彩电,服务,下午就安装好,好评
261,彩电,服务,今天已经装好,好评
262,彩电,服务,第三天上门安装,好评
263,彩电,服务,下午就安装好,好评
264,彩电,服务,安装师傅也很及时,好评
265,彩电,服务,下午就安装好,好评
266,彩电,服务,安装及时,好评
267,彩电,服务,安装也很及时,好评
268,彩电,服务,售后安装也很快,好评
269,彩电,服务,安装师傅也很及时,好评
270,彩电,服务,立马安装,好评
271,彩电,服务,送货安装都挺快的,好评
272,彩电,服务,安装速度挺快,好评
273,彩电,服务,预约安装也很快,好评
274,彩电,服务,安装很给力,好评
275,彩电,服务,安装也快,好评
276,彩电,服务,下午就安装了,好评
277,彩电,服务,第三天上门安装,好评
278,彩电,服务,安装师傅也很及时,好评
279,彩电,服务,当天下午售后给装好,好评
280,彩电,服务,送货安装都到位,好评
281,彩电,服务,立马安装,好评
282,彩电,服务,安装师傅也很及时,好评
283,彩电,服务,安装速度挺快,好评
284,彩电,服务,安装师傅超给力,好评
285,彩电,服务,当天就安装了,好评
286,彩电,服务,安装迅速,好评
287,彩电,服务,当天就安装了,好评
288,彩电,服务,下午就过来安装了,好评
289,彩电,服务,送货及安装的服务很有速度,好评
290,彩电,服务,送货及安装的服务很有速度,好评
291,彩电,服务,打电话第二天就来安装了,好评
292,彩电,服务,安装也很及时,好评
293,彩电,服务,第二天准时送到,好评
294,彩电,服务,安装也快,好评
295,彩电,服务,当天就安装了,好评
296,彩电,服务,安装也很及时,好评
297,彩电,服务,下午就来安装,好评
298,彩电,服务,安装迅速,好评
299,彩电,服务,隔天就装好,好评
300,彩电,服务,安装师傅很快就上门安装,好评
301,彩电,服务,马上就安装了,好评
302,彩电,服务,今天中午就装好了,好评
303,彩电,服务,安装及时,好评
304,彩电,服务,一上午全部搞定,好评
305,彩电,服务,下午安装,好评
306,彩电,服务,下午安装,好评
307,彩电,服务,预约安装也很快,好评
308,彩电,服务,安装很快,好评
309,彩电,服务,安装师傅也来的很快,好评
310,彩电,服务,安装也及时,好评
311,彩电,服务,送货安装一次到位,好评
312,彩电,服务,安装也快,好评
313,彩电,服务,一上午全部搞定,好评
314,彩电,服务,下午安装,好评
315,彩电,服务,立马安装,好评
316,彩电,服务,中午安装师傅就来装好啦,好评
317,彩电,服务,送货安装一次到位,好评
318,彩电,服务,安装很快,好评
319,彩电,服务,安装都很快速,好评
320,彩电,服务,安装也及时,好评
321,彩电,服务,上门安装速度快,好评
322,彩电,服务,下午安装,好评
323,彩电,服务,送货安装都挺快的,好评
324,彩电,服务,安装及时,好评
325,彩电,服务,今天到货就装上,好评
326,彩电,服务,立马安装,好评
327,彩电,服务,安装速度挺快,好评
328,彩电,服务,安装也快,好评
329,彩电,服务,第二天上午来人安装调试,好评
330,彩电,服务,下午就安装了,好评
331,彩电,服务,预约安装也很快,好评
332,彩电,服务,立马安装,好评
333,彩电,服务,上门安装速度快,好评
334,彩电,服务,第三天上门安装,好评
335,彩电,服务,快递上门安装一天搞定,好评
336,彩电,服务,下午就安装了,好评
337,彩电,服务,安装也很及时,好评
338,彩电,服务,安装都很快速,好评
339,彩电,服务,昨天收到的货今天安转好的,好评
340,彩电,服务,安装师傅也很及时,好评
341,彩电,服务,送货安装都挺快的,好评
342,彩电,服务,安装也很及时,好评
343,彩电,服务,安装也很及时,好评
344,彩电,服务,安装都很快速,好评
345,彩电,服务,今天也安好了,好评
346,彩电,服务,回家就安装上,好评
347,彩电,服务,安装也很及时,好评
348,彩电,服务,安装很及时,好评
349,彩电,服务,安装小哥如约而至,好评
350,彩电,服务,回家就安装上,好评
351,彩电,服务,下午安装,好评
352,彩电,服务,送货安装都挺快的,好评
353,彩电,服务,货到当天就来安装了,好评
354,彩电,服务,安装也很快,好评
355,彩电,服务,安装很及时,好评
356,彩电,服务,安装速度快,好评
357,彩电,服务,安装也快,好评
358,彩电,服务,安装及时,好评
359,彩电,服务,当天安装,好评
360,彩电,服务,上门安装速度快,好评
361,彩电,服务,很快就安装好,好评
362,彩电,服务,下午安装,好评
363,彩电,服务,安装及时,好评
364,彩电,服务,售后安装也很快,好评
365,彩电,服务,下午就安装好,好评
366,彩电,服务,安装也很快,好评
367,彩电,服务,安装也快,好评
368,彩电,服务,安装很快,好评
369,彩电,服务,安装师傅也很及时,好评
370,彩电,服务,今天中午就装好了,好评
371,彩电,服务,下午就安装好,好评
372,彩电,服务,今天已经装好,好评
373,彩电,服务,第三天上门安装,好评
374,彩电,服务,下午安装,好评
375,彩电,服务,下午安装,好评
376,彩电,服务,没人上门安装,差评
377,彩电,服务,安装服务跟不上,差评
378,彩电,服务,安装过程有点曲折,差评
379,彩电,服务,送货师傅不肯安装要打电话报装,差评
380,彩电,服务,安装等了两天,差评
381,彩电,服务,售后安装有点慢,差评
382,彩电,服务,就是上门装电视不好,差评
383,彩电,服务,并且安装服务跟不上,差评
384,彩电,服务,就是没人上门安装,差评
385,彩电,服务,催了一直没人上门安装,差评
386,彩电,服务,不满意的是配送的不负责安装,差评
387,彩电,服务,商品安装等了两天才来,差评
388,彩电,服务,买了几天都没人上门安装,差评
389,彩电,服务,买了几天都没人上门安装,差评
390,彩电,服务,没人上门安装,差评
391,彩电,服务,没人上门安装,差评
392,彩电,服务,预约还要等一天干脆自己装了,差评
393,彩电,服务,到今天还没有工作人员上门安装,差评
394,彩电,服务,拿回家好多天才安装,差评
395,彩电,服务,安装太慢了,差评
396,彩电,服务,才安装,差评
397,彩电,服务,还没有人上门安装,差评
398,彩电,服务,安装等了两天,差评
399,彩电,服务,没人上门安装,差评
400,彩电,服务,安装服务跟不上,差评
401,彩电,服务,没人上门安装,差评
402,彩电,服务,安装服务跟不上,差评
403,彩电,服务,安装过程有点曲折,差评
404,彩电,服务,送货师傅不肯安装要打电话报装,差评
405,彩电,服务,安装等了两天,差评
406,彩电,服务,售后安装有点慢,差评
407,彩电,服务,就是上门装电视不好,差评
408,彩电,服务,并且安装服务跟不上,差评
409,彩电,服务,就是没人上门安装,差评
410,彩电,服务,催了一直没人上门安装,差评
411,彩电,服务,不满意的是配送的不负责安装,差评
412,彩电,服务,商品安装等了两天才来,差评
413,彩电,服务,买了几天都没人上门安装,差评
414,彩电,服务,买了几天都没人上门安装,差评
415,彩电,服务,没人上门安装,差评
416,彩电,服务,"试了一下,还行,没人上门安装",差评
417,彩电,服务,预约还要等一天干脆自己装了,差评
418,彩电,服务,到今天还没有工作人员上门安装,差评
419,彩电,服务,拿回家好多天才安装,差评
420,彩电,服务,安装太慢了,差评
421,彩电,服务,才安装,差评
422,彩电,服务,还没有人上门安装,差评
423,彩电,服务,安装等了两天,差评
424,彩电,服务,师傅态度也很好,好评
425,彩电,服务,安装人员也很好,好评
426,彩电,服务,安装人员服务态度很好,好评
427,彩电,服务,师傅态度也很好,好评
428,彩电,服务,安装人员也很好,好评
429,彩电,服务,安装的师傅也很热情,好评
430,彩电,服务,安装师傅态度很好,好评
431,彩电,服务,安装师傅态度很好,好评
432,彩电,服务,安装师傅态度很好,好评
433,彩电,服务,安装人员服务态度很好,好评
434,彩电,服务,安装师傅态度很好,好评
435,彩电,服务,安装师傅态度很好,好评
436,彩电,服务,安装师傅给力,好评
437,彩电,服务,安装师傅态度特别好,好评
438,彩电,服务,安装师傅态度特别好,好评
439,彩电,服务,安装师傅态度很好,好评
440,彩电,服务,安装师傅给力,好评
441,彩电,服务,安装师傅态度很好,好评
442,彩电,服务,安装人员细心,好评
443,彩电,服务,安装人员细心,好评
444,彩电,服务,安装人员也很好,好评
445,彩电,服务,安装人员也很好,好评
446,彩电,服务,安装师傅服务态度也很好,好评
447,彩电,服务,安装师傅服务态度也很好,好评
448,彩电,服务,安装人员服务太差,差评
449,彩电,服务,安装人员服务太差,差评
450,彩电,服务,师傅态度也很好,好评
451,彩电,服务,师傅态度也很好,好评
452,彩电,服务,安装人员细心,好评
453,彩电,服务,安装人员细心,好评
454,彩电,服务,装机师傅态度很好,好评
455,彩电,服务,装机师傅态度很好,好评
456,彩电,服务,装机师傅态度很好,好评
457,彩电,服务,安装给力,好评
458,彩电,服务,安装给力,好评
459,彩电,服务,师傅态度也很好,好评
460,彩电,服务,师傅态度也很好,好评
461,彩电,服务,安装师傅态度很好,好评
462,彩电,服务,吐槽一下安装师傅,差评
463,彩电,服务,安装人员服务非常好,好评
464,彩电,服务,安装给力,好评
465,彩电,服务,安装服务态度好,好评
466,彩电,服务,安装服务态度好,好评
467,彩电,服务,安装人员细心,好评
468,彩电,服务,安装人员细心,好评
469,彩电,服务,师傅态度也很好,好评
470,彩电,服务,师傅态度也很好,好评
471,彩电,服务,安装人员态度挺好,好评
472,彩电,服务,安装人员态度挺好,好评
473,彩电,服务,安装人员态度挺好,好评
474,彩电,服务,安装师傅态度很好,好评
475,彩电,服务,安装师傅态度很好,好评
476,彩电,服务,安装人员细心,好评
477,彩电,服务,安装人员细心,好评
478,彩电,服务,安装人员细心,好评
479,彩电,服务,安装师傅服务态度也很好,好评
480,彩电,服务,安装师傅服务态度也很好,好评
481,彩电,服务,安装师傅态度很好,好评
482,彩电,服务,安装师傅态度很好,好评
483,彩电,服务,安装师傅态度很好,好评
484,彩电,服务,安装师傅态度很好,好评
485,彩电,服务,师傅态度也很好,好评
486,彩电,服务,师傅态度也很好,好评
487,彩电,服务,装机师傅态度很好,好评
488,彩电,服务,装机师傅态度很好,好评
489,彩电,服务,安装人员的服务态度不好,差评
490,彩电,服务,安装人员的服务态度不好,差评
491,彩电,服务,安装师傅态度特别好,好评
492,彩电,服务,安装师傅态度特别好,好评
493,彩电,服务,安装人员细心,好评
494,彩电,服务,安装人员细心,好评
495,彩电,服务,安装人员服务态度很好,好评
496,彩电,服务,安装人员服务态度很好,好评
497,彩电,服务,师傅态度也很好,好评
498,彩电,服务,安装师傅态度很好,好评
499,彩电,服务,安装人员也很好,好评
500,彩电,服务,师傅态度也很好,好评
501,彩电,服务,安装人员服务态度很好,好评
502,彩电,服务,安装的师傅也很热情,好评
503,彩电,服务,安装师傅态度特别好,好评
504,彩电,服务,安装的师傅也很热心,好评
505,彩电,服务,安装人员态度挺好,好评
506,彩电,服务,安装师傅态度很好,好评
507,彩电,服务,安装人员细心,好评
508,彩电,服务,售后服务的师傅态度非常好,好评
509,彩电,服务,装机师傅态度很好,好评
510,彩电,服务,上门安装人员服务态度不错,好评
511,彩电,服务,安装师傅态度很好,好评
512,彩电,服务,师傅态度也很好,好评
513,彩电,服务,安装服务态度好,好评
514,彩电,服务,安装人员服务态度很好,好评
515,彩电,服务,安装人员态度挺好,好评
516,彩电,服务,安装的师傅也很热心,好评
517,彩电,服务,安装师傅服务态度也很好,好评
518,彩电,服务,安装师傅态度很好,好评
519,彩电,服务,师傅态度也很好,好评
520,彩电,服务,安装师傅态度很好,好评
521,彩电,服务,安装人员也很好,好评
522,彩电,服务,师傅态度也很好,好评
523,彩电,服务,安装人员服务态度很好,好评
524,彩电,服务,安装的师傅也很热情,好评
525,彩电,服务,安装师傅态度特别好,好评
526,彩电,服务,安装的师傅也很热心,好评
527,彩电,服务,安装人员态度挺好,好评
528,彩电,服务,安装师傅态度很好,好评
529,彩电,服务,安装人员细心,好评
530,彩电,服务,售后服务的师傅态度非常好,好评
531,彩电,服务,装机师傅态度很好,好评
532,彩电,服务,上门安装人员服务态度不错,好评
533,彩电,服务,安装师傅态度很好,好评
534,彩电,服务,师傅态度也很好,好评
535,彩电,服务,安装服务态度好,好评
536,彩电,服务,安装人员服务态度很好,好评
537,彩电,服务,安装人员态度挺好,好评
538,彩电,服务,安装的师傅也很热心,好评
539,彩电,服务,安装师傅服务态度也很好,好评
540,彩电,服务,安装师傅态度很好,好评
541,彩电,服务,安装人员的服务态度不好,差评
542,彩电,服务,售后服务的师傅态度非常好,好评
543,彩电,服务,装机师傅态度很好,好评
544,彩电,服务,上门安装人员服务态度不错,好评
545,彩电,服务,安装师傅态度很好,好评
546,彩电,服务,师傅态度也很好,好评
547,彩电,服务,安装服务态度好,好评
548,彩电,服务,安装人员服务态度很好,好评
549,彩电,服务,安装人员态度挺好,好评
550,彩电,服务,安装的师傅也很热心,好评
551,彩电,服务,安装师傅服务态度也很好,好评
552,彩电,服务,安装师傅态度很好,好评
553,彩电,服务,安装师傅态度很好,好评
554,彩电,服务,安装人员也很好,好评
555,彩电,服务,师傅态度也很好,好评
556,彩电,服务,安装人员服务态度很好,好评
557,彩电,服务,安装的师傅也很热情,好评
558,彩电,服务,安装师傅态度特别好,好评
559,彩电,服务,安装的师傅也很热心,好评
560,彩电,服务,安装人员态度挺好,好评
561,彩电,服务,安装师傅态度很好,好评
562,彩电,服务,安装人员细心,好评
563,彩电,服务,售后服务的师傅态度非常好,好评
564,彩电,服务,装机师傅态度很好,好评
565,彩电,服务,上门安装人员服务态度不错,好评
566,彩电,服务,安装师傅态度很好,好评
567,彩电,服务,师傅态度也很好,好评
568,彩电,服务,安装服务态度好,好评
569,彩电,服务,安装人员服务态度很好,好评
570,彩电,服务,安装人员态度挺好,好评
571,彩电,服务,安装的师傅也很热心,好评
572,彩电,服务,安装师傅服务态度也很好,好评
573,彩电,服务,安装人员服务态度很好,好评
574,彩电,服务,安装的师傅也很热情,好评
575,彩电,服务,安装师傅态度特别好,好评
576,彩电,服务,安装的师傅也很热心,好评
577,彩电,服务,安装人员态度挺好,好评
578,彩电,服务,安装师傅态度很好,好评
579,彩电,服务,安装人员细心,好评
580,彩电,服务,售后服务的师傅态度非常好,好评
581,彩电,服务,装机师傅态度很好,好评
582,彩电,服务,上门安装人员服务态度不错,好评
583,彩电,服务,安装师傅态度很好,好评
584,彩电,服务,师傅态度也很好,好评
585,彩电,服务,安装服务态度好,好评
586,彩电,服务,安装人员服务态度很好,好评
587,彩电,服务,安装人员态度挺好,好评
588,彩电,服务,安装的师傅也很热心,好评
589,彩电,服务,安装师傅很专业,好评
590,彩电,服务,安装到位,好评
591,彩电,服务,安装师傅也很专业,好评
592,彩电,服务,装上还不错,好评
593,彩电,服务,安装师傅也很给力,好评
594,彩电,服务,安装师傅很专业,好评
595,彩电,服务,安装也很到位,好评
596,彩电,服务,安装也很到位,好评
597,彩电,服务,安装师傅也很负责,好评
598,彩电,服务,师傅也比较专业,中评
599,彩电,服务,师傅也比较专业,中评
600,彩电,服务,售后安装也很专业,好评
601,彩电,服务,售后安装也很专业,好评
602,彩电,服务,安装专业,好评
603,彩电,服务,安装专业,好评
604,彩电,服务,厂家安装很是专业,好评
605,彩电,服务,厂家安装很是专业,好评
606,彩电,服务,安装较专业,好评
607,彩电,服务,安装较专业,好评
608,彩电,服务,师傅干活太专业了赞一个,好评
609,彩电,服务,师傅干活太专业了赞一个,好评
610,彩电,服务,安装师傅专业,好评
611,彩电,服务,安装师傅专业,好评
612,彩电,服务,售后安装也很专业,好评
613,彩电,服务,售后安装也很专业,好评
614,彩电,服务,安装师傅也很棒,好评
615,彩电,服务,安装师傅也很棒,好评
616,彩电,服务,安装到位,好评
617,彩电,服务,安装到位,好评
618,彩电,服务,安装师傅专业敬业,好评
619,彩电,服务,安装师傅专业敬业,好评
620,彩电,服务,安装很专业,好评
621,彩电,服务,安装很专业,好评
622,彩电,服务,安装师傅专业,好评
623,彩电,服务,安装师傅专业,好评
624,彩电,服务,安装师傅也很专业,好评
625,彩电,服务,安装师傅也很专业,好评
626,彩电,服务,师傅很专业,好评
627,彩电,服务,师傅很专业,好评
628,彩电,服务,安装师傅非常专业,好评
629,彩电,服务,安装师傅非常专业,好评
630,彩电,服务,安装师傅也很专业,好评
631,彩电,服务,安装师傅也很专业,好评
632,彩电,服务,安装较专业,好评
633,彩电,服务,安装较专业,好评
634,彩电,服务,安装人员很专业,好评
635,彩电,服务,安装人员很专业,好评
636,彩电,服务,安装人员很专业,好评
637,彩电,服务,专业人员上门调试,好评
638,彩电,服务,专业人员上门调试,好评
639,彩电,服务,安装人员不专业,差评
640,彩电,服务,安装人员不专业,差评
641,彩电,服务,安装人员不够专业,中评
642,彩电,服务,安装人员不够专业,中评
643,彩电,服务,安装人员不够专业,中评
644,彩电,服务,安装是包给第三方做的,差评
645,彩电,服务,安装是包给第三方做的,差评
646,彩电,服务,安装不太好,中评
647,彩电,服务,安装不太好,中评
648,彩电,服务,安装师傅不太会,差评
649,彩电,服务,安装师傅不太会,差评
650,彩电,服务,安装人员不够专业,中评
651,彩电,服务,安装人员不够专业,中评
652,彩电,服务,安装人员不专业,差评
653,彩电,服务,安装人员不专业,差评
654,彩电,服务,对这安装的人五个差,差评
655,彩电,服务,对这安装的人五个差,差评
656,彩电,服务,只给打开包装插起电视底座也不给调试好,差评
657,彩电,服务,只给打开包装插起电视底座也不给调试好,差评
658,彩电,服务,安装到位,好评
659,彩电,服务,安装到位,好评
660,彩电,服务,安装也很专业,好评
661,彩电,服务,安装也很专业,好评
662,彩电,服务,安装服务觉得很好,好评
663,彩电,服务,安装服务觉得很好,好评
664,彩电,服务,师傅很专业,好评
665,彩电,服务,师傅很专业,好评
666,彩电,服务,安装师傅很专业,好评
667,彩电,服务,安装师傅很专业,好评
668,彩电,服务,安装师傅也很专业,好评
669,彩电,服务,安装师傅也很专业,好评
670,彩电,服务,安装师傅也很专业,好评
671,彩电,服务,安装较专业,好评
672,彩电,服务,安装较专业,好评
673,彩电,服务,安装较专业,好评
674,彩电,服务,安装专业,好评
675,彩电,服务,安装人员很专业,好评
676,彩电,服务,安装到位,好评
677,彩电,服务,安装到位,好评
678,彩电,服务,安装师傅专业,好评
