sentence_id,category,dimension,sentence,emotion
35,ฒสต็,ฒ๚ฦท,รปสฒรดฦฌิด,ฒ๎ฦภ
36,ฒสต็,ฒ๚ฦท,ฦฌิดบร,บรฦภ
37,ฒสต็,ฒ๚ฦท,3Dฦฌิดษู,ฒ๎ฦภ
38,ฒสต็,ฒ๚ฦท,ืสิดำะตใษู,ึะฦภ
39,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษูมห,ฒ๎ฦภ
40,ฒสต็,ฒ๚ฦท,ฦฌิดบÜถเ,บรฦภ
41,ฒสต็,ฒ๚ฦท,ืสิดทแธป,บรฦภ
42,ฒสต็,ฒ๚ฦท,ฦฌิดบÜทแธป,บรฦภ
43,ฒสต็,ฒ๚ฦท,ืสิดบÜถเ,บรฦภ
44,ฒสต็,ฒ๚ฦท,4Kรปำะฦฌิด,ฒ๎ฦภ
45,ฒสต็,ฒ๚ฦท,สำฦตืสิดบÜทแธป,บรฦภ
46,ฒสต็,ฒ๚ฦท,ฝฺฤฟทแธป,บรฦภ
47,ฒสต็,ฒ๚ฦท,ืสิดบÜทแธป,บรฦภ
48,ฒสต็,ฒ๚ฦท,ืสิดอฆทแธปตฤ,บรฦภ
49,ฒสต็,ฒ๚ฦท,4Kฦฌิดฬซษู,ฒ๎ฦภ
50,ฒสต็,ฒ๚ฦท,ำฐสำืสิดบÜทแธป,บรฦภ
51,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
52,ฒสต็,ฒ๚ฦท,3Dฦฌิดษู,ฒ๎ฦภ
53,ฒสต็,ฒ๚ฦท,4Kฦฌิดฬซษูมห,ฒ๎ฦภ
54,ฒสต็,ฒ๚ฦท,ฦฌิดบÜถเ,บรฦภ
55,ฒสต็,ฒ๚ฦท,ืสิดบÜษู,ฒ๎ฦภ
56,ฒสต็,ฒ๚ฦท,ืสิดอฆทแธปตฤ,บรฦภ
57,ฒสต็,ฒ๚ฦท,ฦฌิดปนะะ,ึะฦภ
58,ฒสต็,ฒ๚ฦท,4kฦฌิดษู,ฒ๎ฦภ
59,ฒสต็,ฒ๚ฦท,ืิด๘ตฤืสิดำะตใษู,ึะฦภ
60,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
61,ฒสต็,ฒ๚ฦท,ืสิดรปฯ๋ฯ๓ตฤถเ,ฒ๎ฦภ
62,ฒสต็,ฒ๚ฦท,ฦฌิดฒปหใฬซะย,ฒ๎ฦภ
63,ฒสต็,ฒ๚ฦท,บÜถเฦฌิด,บรฦภ
64,ฒสต็,ฒ๚ฦท,ืสิดฬซษูมห,ฒ๎ฦภ
65,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
66,ฒสต็,ฒ๚ฦท,ฦฌิดฒปถเ,ฒ๎ฦภ
67,ฒสต็,ฒ๚ฦท,4Kรปำะฦฌิด,ฒ๎ฦภ
68,ฒสต็,ฒ๚ฦท,ฦฌิดฑศฝฯทแธป,ึะฦภ
69,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
70,ฒสต็,ฒ๚ฦท,ืสิดทแธป,บรฦภ
71,ฒสต็,ฒ๚ฦท,ฝฺฤฟทแธป,บรฦภ
72,ฒสต็,ฒ๚ฦท,3dฦฌิดฑศฝฯษู,ึะฦภ
73,ฒสต็,ฒ๚ฦท,ำฐสำืสิดำะตใษู,ึะฦภ
74,ฒสต็,ฒ๚ฦท,ำฐสำืสิดทแธป,บรฦภ
75,ฒสต็,ฒ๚ฦท,ฦฌิดบÜบร,บรฦภ
76,ฒสต็,ฒ๚ฦท,ืิด๘ตฤืสิดฑศฝฯษู,ึะฦภ
77,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
78,ฒสต็,ฒ๚ฦท,ฦฌิดบÜทแธป,บรฦภ
79,ฒสต็,ฒ๚ฦท,อฌฦฺฦฌิดฒปศซ,ฒ๎ฦภ
80,ฒสต็,ฒ๚ฦท,ฝฺฤฟบÜถเ,บรฦภ
81,ฒสต็,ฒ๚ฦท,ฦฌิดษู,ฒ๎ฦภ
82,ฒสต็,ฒ๚ฦท,ฐฎฦๆาีฦฌิดทแธป,บรฦภ
83,ฒสต็,ฒ๚ฦท,ฦฌิดำะตใษู,ึะฦภ
84,ฒสต็,ฒ๚ฦท,4Kฦฌิดฬซษู,ฒ๎ฦภ
85,ฒสต็,ฒ๚ฦท,สำฦตืสิดทแธป,บรฦภ
86,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
87,ฒสต็,ฒ๚ฦท,ฦฌิดฝฯษู,ึะฦภ
88,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
89,ฒสต็,ฒ๚ฦท,ฦฌิดบร,บรฦภ
90,ฒสต็,ฒ๚ฦท,ืสิดบÜทแธป,บรฦภ
91,ฒสต็,ฒ๚ฦท,ฝฺฤฟษูมหตใ,ึะฦภ
92,ฒสต็,ฒ๚ฦท,"4K,3Dรปำะฦฌิด",ฒ๎ฦภ
93,ฒสต็,ฒ๚ฦท,ฦฌิดฝฯษู,ึะฦภ
94,ฒสต็,ฒ๚ฦท,ืสิดฬซษูมห,ฒ๎ฦภ
95,ฒสต็,ฒ๚ฦท,ืสิดทแธป,บรฦภ
96,ฒสต็,ฒ๚ฦท,ฦฌิดฒปถเ,ฒ๎ฦภ
97,ฒสต็,ฒ๚ฦท,ฦฌิดษูตฤบÜ,ฒ๎ฦภ
98,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
99,ฒสต็,ฒ๚ฦท,ืสิดบÜถเ,บรฦภ
100,ฒสต็,ฒ๚ฦท,ฦฌิดษู,ฒ๎ฦภ
101,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
102,ฒสต็,ฒ๚ฦท,ฦฌิดปนะะ,ึะฦภ
103,ฒสต็,ฒ๚ฦท,ฐฎฦๆาีฦฌิดทแธป,บรฦภ
104,ฒสต็,ฒ๚ฦท,ฦฌิดะย,บรฦภ
105,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
106,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
107,ฒสต็,ฒ๚ฦท,ฦฌิดทวณฃทแธป,บรฦภ
108,ฒสต็,ฒ๚ฦท,ืสิดบÜทแธป,บรฦภ
109,ฒสต็,ฒ๚ฦท,ืสิดฬซษูมห,ฒ๎ฦภ
110,ฒสต็,ฒ๚ฦท,ฦฌิดฑศฝฯษู,ึะฦภ
111,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษูมห,ฒ๎ฦภ
112,ฒสต็,ฒ๚ฦท,ฦฌิดฒปฬซบร,ฒ๎ฦภ
113,ฒสต็,ฒ๚ฦท,ฝฺฤฟทแธป,บรฦภ
114,ฒสต็,ฒ๚ฦท,ืสิดธüะยยý,ฒ๎ฦภ
115,ฒสต็,ฒ๚ฦท,ฦฌิดฒปถเ,ฒ๎ฦภ
116,ฒสต็,ฒ๚ฦท,ฦฌิดณไืใ,บรฦภ
117,ฒสต็,ฒ๚ฦท,ฦฌิดฑศฝฯะย,ึะฦภ
118,ฒสต็,ฒ๚ฦท,ฝฺฤฟทแธป,บรฦภ
119,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
120,ฒสต็,ฒ๚ฦท,รปำะฦฌิด,ฒ๎ฦภ
121,ฒสต็,ฒ๚ฦท,ฦฌิดษู,ฒ๎ฦภ
122,ฒสต็,ฒ๚ฦท,รปำะธ฿วๅฦฌิด,ฒ๎ฦภ
123,ฒสต็,ฒ๚ฦท,ฦฌิดบÜทแธป,บรฦภ
124,ฒสต็,ฒ๚ฦท,ต็ำฐืสิดฬซษูมห,ฒ๎ฦภ
125,ฒสต็,ฒ๚ฦท,ฦฌิดฒปถเ,ฒ๎ฦภ
126,ฒสต็,ฒ๚ฦท,ืสิดำะตใษู,ึะฦภ
127,ฒสต็,ฒ๚ฦท,ฦฌิดำะตใษู,ึะฦภ
128,ฒสต็,ฒ๚ฦท,4kรปำะฦฌิด,ฒ๎ฦภ
129,ฒสต็,ฒ๚ฦท,ฝฺฤฟบÜถเ,บรฦภ
130,ฒสต็,ฒ๚ฦท,รปำะธ฿วๅฦฌิด,ฒ๎ฦภ
131,ฒสต็,ฒ๚ฦท,ืสิดทแธป,บรฦภ
132,ฒสต็,ฒ๚ฦท,ฦฌิดทแธป,บรฦภ
133,ฒสต็,ฒ๚ฦท,ฝฺฤฟทแธป,บรฦภ
134,ฒสต็,ฒ๚ฦท,ฦฌิดษู,ฒ๎ฦภ
135,ฒสต็,ฒ๚ฦท,ืสิดบÜทแธป,บรฦภ
136,ฒสต็,ฒ๚ฦท,ืสิดบÜถเ,บรฦภ
137,ฒสต็,ฒ๚ฦท,ฦฌิดบÜทแธป,บรฦภ
138,ฒสต็,ฒ๚ฦท,ฦฌิดฒปหใฬซะย,ฒ๎ฦภ
139,ฒสต็,ฒ๚ฦท,ฤฺศÝทวณฃทแธป,บรฦภ
140,ฒสต็,ฒ๚ฦท,ฦฌิดทแธป,บรฦภ
141,ฒสต็,ฒ๚ฦท,ฦฌิดษู,ฒ๎ฦภ
142,ฒสต็,ฒ๚ฦท,ฦฌิดำะตใษู,ึะฦภ
143,ฒสต็,ฒ๚ฦท,ืสิดำะตใษู,ึะฦภ
144,ฒสต็,ฒ๚ฦท,ฦฌิดฑศฝฯษู,ึะฦภ
145,ฒสต็,ฒ๚ฦท,ฦฌิดฒปถเ,ฒ๎ฦภ
146,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
147,ฒสต็,ฒ๚ฦท,รโทัฦฌิดฬซษู,ฒ๎ฦภ
148,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
149,ฒสต็,ฒ๚ฦท,ธ฿วๅสำฦตืสิดษูาปตใ,ึะฦภ
150,ฒสต็,ฒ๚ฦท,รปำะธ฿วๅฦฌิด,ฒ๎ฦภ
151,ฒสต็,ฒ๚ฦท,ฦฌิดฒปถเ,ฒ๎ฦภ
152,ฒสต็,ฒ๚ฦท,ปชสýฦฌิดษูปนสีทั,ฒ๎ฦภ
153,ฒสต็,ฒ๚ฦท,รปสฒรดฦฌิด,ฒ๎ฦภ
154,ฒสต็,ฒ๚ฦท,ฝฺฤฟทแธป,บรฦภ
155,ฒสต็,ฒ๚ฦท,ืสิดทแธป,บรฦภ
156,ฒสต็,ฒ๚ฦท,ืสิดบÜถเ,บรฦภ
157,ฒสต็,ฒ๚ฦท,ฦฌิดฝฯษู,ึะฦภ
158,ฒสต็,ฒ๚ฦท,ฦฌิดบÜทแธป,บรฦภ
159,ฒสต็,ฒ๚ฦท,ฦฌิดบÜถเ,บรฦภ
160,ฒสต็,ฒ๚ฦท,ฦฌิดทแธป,บรฦภ
161,ฒสต็,ฒ๚ฦท,ืสิดบÜทแธป,บรฦภ
162,ฒสต็,ฒ๚ฦท,ศีธÛพ็รปำะฦฌิด,ฒ๎ฦภ
163,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
164,ฒสต็,ฒ๚ฦท,ฝฺฤฟบÜถเ,บรฦภ
165,ฒสต็,ฒ๚ฦท,ืสิดรปฯ๋ฯ๓ตฤถเ,ฒ๎ฦภ
166,ฒสต็,ฒ๚ฦท,ฦฌิดฒปถเ,ฒ๎ฦภ
167,ฒสต็,ฒ๚ฦท,ฦฌิดบร,บรฦภ
168,ฒสต็,ฒ๚ฦท,ฦฌิดบÜทแธป,บรฦภ
169,ฒสต็,ฒ๚ฦท,ฦฌิดฝฯษู,ึะฦภ
170,ฒสต็,ฒ๚ฦท,ฦฌิดฑศฝฯทแธป,ึะฦภ
171,ฒสต็,ฒ๚ฦท,ฦฌิดทแธป,บรฦภ
172,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษูมห,ฒ๎ฦภ
173,ฒสต็,ฒ๚ฦท,ฦฌิดษู,ฒ๎ฦภ
174,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
175,ฒสต็,ฒ๚ฦท,ฦฌิดบÜทแธป,บรฦภ
176,ฒสต็,ฒ๚ฦท,ฦฌิดฝฯษู,ึะฦภ
177,ฒสต็,ฒ๚ฦท,ต็ำฐืสิดฬซษูมห,ฒ๎ฦภ
178,ฒสต็,ฒ๚ฦท,ืสิดำะตใษู,ึะฦภ
179,ฒสต็,ฒ๚ฦท,ฦฌิดฒปถเ,ฒ๎ฦภ
180,ฒสต็,ฒ๚ฦท,ืสิดธüะยยý,ฒ๎ฦภ
181,ฒสต็,ฒ๚ฦท,ืสิดบÜถเ,บรฦภ
182,ฒสต็,ฒ๚ฦท,รปสฒรดฦฌิด,ฒ๎ฦภ
183,ฒสต็,ฒ๚ฦท,ฦฌิดฑศฝฯษู,ึะฦภ
184,ฒสต็,ฒ๚ฦท,ฦฌิดฒปฬซบร,ฒ๎ฦภ
185,ฒสต็,ฒ๚ฦท,ฦฌิดฒปดํ,บรฦภ
186,ฒสต็,ฒ๚ฦท,ฦฌิดทแธป,บรฦภ
187,ฒสต็,ฒ๚ฦท,ืสิดบÜทแธป,บรฦภ
188,ฒสต็,ฒ๚ฦท,ฦฌิดบร,บรฦภ
189,ฒสต็,ฒ๚ฦท,ฦฌิดฒปถเ,ฒ๎ฦภ
190,ฒสต็,ฒ๚ฦท,ฦฌิดณไืใ,บรฦภ
191,ฒสต็,ฒ๚ฦท,ืสิดทแธป,บรฦภ
192,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
193,ฒสต็,ฒ๚ฦท,ืสิดอฆทแธปตฤ,บรฦภ
194,ฒสต็,ฒ๚ฦท,ืสิดฬซษูมห,ฒ๎ฦภ
195,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
196,ฒสต็,ฒ๚ฦท,ืสิดอฆทแธปตฤ,บรฦภ
197,ฒสต็,ฒ๚ฦท,ฝฺฤฟทแธป,บรฦภ
198,ฒสต็,ฒ๚ฦท,ฦฌิดษู,ฒ๎ฦภ
199,ฒสต็,ฒ๚ฦท,ืิด๘ปชสýฦฌิดฒปถเ,ฒ๎ฦภ
200,ฒสต็,ฒ๚ฦท,ฦฌิดบÜถเ,บรฦภ
201,ฒสต็,ฒ๚ฦท,ฦฌิดฑศฝฯษู,ึะฦภ
202,ฒสต็,ฒ๚ฦท,ืสิดบÜถเ,บรฦภ
203,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
204,ฒสต็,ฒ๚ฦท,บÜถเฦฌิด,บรฦภ
205,ฒสต็,ฒ๚ฦท,ฦฌิดทแธป,บรฦภ
206,ฒสต็,ฒ๚ฦท,บÜถเฦฌิด,บรฦภ
207,ฒสต็,ฒ๚ฦท,ต็ำฐืสิดฬซษูมห,ฒ๎ฦภ
208,ฒสต็,ฒ๚ฦท,ต็ำฐฑศฝฯพษ,ึะฦภ
209,ฒสต็,ฒ๚ฦท,ืิด๘ตฤืสิดฑศฝฯษู,ึะฦภ
210,ฒสต็,ฒ๚ฦท,ืสิดทแธป,บรฦภ
211,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
212,ฒสต็,ฒ๚ฦท,ฦฌิดทแธป,บรฦภ
213,ฒสต็,ฒ๚ฦท,4kรปำะฦฌิด,ฒ๎ฦภ
214,ฒสต็,ฒ๚ฦท,4kรปำะฦฌิด,ฒ๎ฦภ
215,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
216,ฒสต็,ฒ๚ฦท,ฝฺฤฟบÜถเ,บรฦภ
217,ฒสต็,ฒ๚ฦท,ฦฌิดษู,ฒ๎ฦภ
218,ฒสต็,ฒ๚ฦท,ฦฌืำบÜถเ,บรฦภ
219,ฒสต็,ฒ๚ฦท,ฦฌิดฑศฝฯษู,ึะฦภ
220,ฒสต็,ฒ๚ฦท,ธ฿วๅฦฌิดถเ,บรฦภ
221,ฒสต็,ฒ๚ฦท,ฦฌิดฑศฝฯทแธป,ึะฦภ
222,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
223,ฒสต็,ฒ๚ฦท,4kรปำะฦฌิด,ฒ๎ฦภ
224,ฒสต็,ฒ๚ฦท,ฦฌิดปนะะ,ึะฦภ
225,ฒสต็,ฒ๚ฦท,ฦฌิดบรถเ,บรฦภ
226,ฒสต็,ฒ๚ฦท,ฦฌิดำะตใษู,ึะฦภ
227,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษูมห,ฒ๎ฦภ
228,ฒสต็,ฒ๚ฦท,ืสิดบÜถเ,บรฦภ
229,ฒสต็,ฒ๚ฦท,ฝฺฤฟทแธป,บรฦภ
230,ฒสต็,ฒ๚ฦท,ืสิดำะตใษู,ึะฦภ
231,ฒสต็,ฒ๚ฦท,ฦฌิดษู,ฒ๎ฦภ
232,ฒสต็,ฒ๚ฦท,ฦฌิดฑศฝฯษู,ึะฦภ
233,ฒสต็,ฒ๚ฦท,ฝฺฤฟบÜถเ,บรฦภ
234,ฒสต็,ฒ๚ฦท,ืสิดทแธป,บรฦภ
235,ฒสต็,ฒ๚ฦท,รปำะฦฌิด,ฒ๎ฦภ
236,ฒสต็,ฒ๚ฦท,รปำะธ฿วๅฦฌิด,ฒ๎ฦภ
237,ฒสต็,ฒ๚ฦท,ฦฌิดทแธป,บรฦภ
238,ฒสต็,ฒ๚ฦท,ืสิดอฆทแธปตฤ,บรฦภ
239,ฒสต็,ฒ๚ฦท,ฦฌิดอฆถเตฤ,บรฦภ
240,ฒสต็,ฒ๚ฦท,ืสิดบÜทแธป,บรฦภ
241,ฒสต็,ฒ๚ฦท,ฝฺฤฟบÜถเ,บรฦภ
242,ฒสต็,ฒ๚ฦท,ืสิดฬซษูมห,ฒ๎ฦภ
243,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
244,ฒสต็,ฒ๚ฦท,ฝฺฤฟทแธป,บรฦภ
245,ฒสต็,ฒ๚ฦท,ฝฺฤฟบÜถเ,บรฦภ
246,ฒสต็,ฒ๚ฦท,ืสิดบÜถเ,บรฦภ
247,ฒสต็,ฒ๚ฦท,ฦฌิดบÜถเ,บรฦภ
248,ฒสต็,ฒ๚ฦท,รปำะธ฿วๅฦฌิด,ฒ๎ฦภ
249,ฒสต็,ฒ๚ฦท,ฦฌิดษูมหตใ,ึะฦภ
250,ฒสต็,ฒ๚ฦท,ฦฌิดฒปฬซบร,ฒ๎ฦภ
251,ฒสต็,ฒ๚ฦท,ฦฌิดบÜทแธป,บรฦภ
252,ฒสต็,ฒ๚ฦท,ืสิดอฆทแธป,บรฦภ
253,ฒสต็,ฒ๚ฦท,ืสิดฬซษูมห,ฒ๎ฦภ
254,ฒสต็,ฒ๚ฦท,ฝฺฤฟทแธป,บรฦภ
255,ฒสต็,ฒ๚ฦท,ฦฌิดทแธป,บรฦภ
256,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
257,ฒสต็,ฒ๚ฦท,รปำะธ฿วๅฦฌิด,ฒ๎ฦภ
258,ฒสต็,ฒ๚ฦท,ืสิดทแธป,บรฦภ
259,ฒสต็,ฒ๚ฦท,ฝฺฤฟบÜถเ,บรฦภ
260,ฒสต็,ฒ๚ฦท,ืสิดบÜทแธป,บรฦภ
261,ฒสต็,ฒ๚ฦท,4kรปำะฦฌิด,ฒ๎ฦภ
262,ฒสต็,ฒ๚ฦท,ฦฌิดฑศฝฯษู,ึะฦภ
263,ฒสต็,ฒ๚ฦท,ฦฌิดำะตใษู,ึะฦภ
264,ฒสต็,ฒ๚ฦท,ฦฌิดฒปถเ,ฒ๎ฦภ
265,ฒสต็,ฒ๚ฦท,ฯตอณตฤฦฌิดทวณฃตฤณไืใ,บรฦภ
266,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
267,ฒสต็,ฒ๚ฦท,ฦฌิดษูมหตใ,ึะฦภ
268,ฒสต็,ฒ๚ฦท,ฦฌิดษู,ฒ๎ฦภ
269,ฒสต็,ฒ๚ฦท,ฦฌิดบÜถเ,บรฦภ
270,ฒสต็,ฒ๚ฦท,ฤฺศÝทวณฃทแธป,บรฦภ
271,ฒสต็,ฒ๚ฦท,ต็ำฐืสิดฬซษูมห,ฒ๎ฦภ
272,ฒสต็,ฒ๚ฦท,ฦฌิดฒปดํ,บรฦภ
273,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
274,ฒสต็,ฒ๚ฦท,ฦฌิดษู,ฒ๎ฦภ
275,ฒสต็,ฒ๚ฦท,ฦฌิดบฃมฟ,บรฦภ
276,ฒสต็,ฒ๚ฦท,ืสิดทแธป,บรฦภ
277,ฒสต็,ฒ๚ฦท,ฤฺศÝทวณฃทแธป,บรฦภ
278,ฒสต็,ฒ๚ฦท,ฦฌิดปนะะ,ึะฦภ
279,ฒสต็,ฒ๚ฦท,ฝฺฤฟบÜถเ,บรฦภ
280,ฒสต็,ฒ๚ฦท,ืสิดยิษู,ึะฦภ
281,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
282,ฒสต็,ฒ๚ฦท,ฦฌิดทแธป,บรฦภ
283,ฒสต็,ฒ๚ฦท,ฦฌิดบÜทแธป,บรฦภ
284,ฒสต็,ฒ๚ฦท,รปำะธ฿วๅฦฌิด,ฒ๎ฦภ
285,ฒสต็,ฒ๚ฦท,ฦฌิดษู,ฒ๎ฦภ
286,ฒสต็,ฒ๚ฦท,ฦฌิดฒปดํ,บรฦภ
287,ฒสต็,ฒ๚ฦท,ฦฌิดฒปดํ,บรฦภ
288,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษูมห,ฒ๎ฦภ
289,ฒสต็,ฒ๚ฦท,ฦฌิดบÜทแธป,บรฦภ
290,ฒสต็,ฒ๚ฦท,4kรปำะฦฌิด,ฒ๎ฦภ
291,ฒสต็,ฒ๚ฦท,ฦฌิดบÜทแธป,บรฦภ
292,ฒสต็,ฒ๚ฦท,ฦฌิดบÜถเ,บรฦภ
293,ฒสต็,ฒ๚ฦท,ฦฌิดอฆถเตฤ,บรฦภ
294,ฒสต็,ฒ๚ฦท,ืสิดบÜถเ,บรฦภ
295,ฒสต็,ฒ๚ฦท,ืสิดำะตใษู,ึะฦภ
296,ฒสต็,ฒ๚ฦท,ฦฌิดถเ,บรฦภ
297,ฒสต็,ฒ๚ฦท,ืสิดอฆทแธป,บรฦภ
298,ฒสต็,ฒ๚ฦท,ฦฌิดบÜทแธป,บรฦภ
299,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
300,ฒสต็,ฒ๚ฦท,ฦฌิดบร,บรฦภ
301,ฒสต็,ฒ๚ฦท,ฦฌิดฝฯษู,ึะฦภ
302,ฒสต็,ฒ๚ฦท,ืสิดทแธป,บรฦภ
303,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษูมห,ฒ๎ฦภ
304,ฒสต็,ฒ๚ฦท,4kรปำะฦฌิด,ฒ๎ฦภ
305,ฒสต็,ฒ๚ฦท,ฦฌิดธüะยฟ์,บรฦภ
306,ฒสต็,ฒ๚ฦท,ืสิดทแธป,บรฦภ
307,ฒสต็,ฒ๚ฦท,ืสิดบÜถเ,บรฦภ
308,ฒสต็,ฒ๚ฦท,ฦฌิดทแธป,บรฦภ
309,ฒสต็,ฒ๚ฦท,ืสิดฬซษูมห,ฒ๎ฦภ
310,ฒสต็,ฒ๚ฦท,ฦฌิดบÜถเ,บรฦภ
311,ฒสต็,ฒ๚ฦท,ืสิดบÜถเ,บรฦภ
312,ฒสต็,ฒ๚ฦท,ฦฌิดบร,บรฦภ
313,ฒสต็,ฒ๚ฦท,4kรปำะฦฌิด,ฒ๎ฦภ
314,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษู,ฒ๎ฦภ
315,ฒสต็,ฒ๚ฦท,ฝฺฤฟบÜถเ,บรฦภ
316,ฒสต็,ฒ๚ฦท,ฦฌิดำะตใษู,ึะฦภ
317,ฒสต็,ฒ๚ฦท,ฝฺฤฟทแธป,บรฦภ
318,ฒสต็,ฒ๚ฦท,ืิษํด๘ตฤืสิดฒปถเ,ฒ๎ฦภ
319,ฒสต็,ฒ๚ฦท,ฦฌิดษู,ฒ๎ฦภ
320,ฒสต็,ฒ๚ฦท,ฦฌิดฬซษูมห,ฒ๎ฦภ
